pair,variant,instrument,old_mean_mae_clinical,new_mean_mae_clinical_benchmarkable,note
Ministral,base,phq8,8.415,7.655,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Ministral,ablit,phq8,8.16,7.472,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Qwen3,base,phq8,5.136,4.625,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Qwen3,ablit,phq8,4.363,3.844,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Gemma,base,phq8,8.791,8.183,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Gemma,ablit,phq8,9.029,8.571,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
GLM,base,phq8,9.978,9.303,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
GLM,ablit,phq8,10.495,9.85,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Phi4,base,phq8,8.661,8.161,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Phi4,ablit,phq8,6.922,6.395,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Qwen2.5,base,phq8,6.338,5.83,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Qwen2.5,ablit,phq8,7.515,6.882,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Phi3med,base,phq8,10.526,9.976,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Phi3med,ablit,phq8,11.963,11.501,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Llama3.1,base,phq8,8.935,8.295,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Llama3.1,ablit,phq8,3.442,3.114,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
DeepSeekR1,base,phq8,8.378,7.825,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
DeepSeekR1,ablit,phq8,6.495,6.113,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Yi1.5,base,phq8,11.239,10.649,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
Yi1.5,ablit,phq8,9.9,9.323,gold marginals; Trans+Multiracial cells excluded (no v2 GT)
