pair,variant,dimension,group,n,model_sd,old_ref_sd,old_SI,new_ref_sd,new_SI,status
Ministral,base,ses,Low,200,2.19,5.9,0.371,4.885,0.448,DESCRIPTIVE_only
Ministral,base,ses,Middle,199,3.911,5.5,0.711,3.955,0.989,DESCRIPTIVE_only
Ministral,base,ses,High,200,3.721,4.7,0.792,3.085,1.206,DESCRIPTIVE_only
Ministral,base,gender,Cisgender Man,150,6.191,4.3,1.44,3.585,1.727,DESCRIPTIVE_only
Ministral,base,gender,Cisgender Woman,150,6.147,5.1,1.205,4.192,1.466,DESCRIPTIVE_only
Ministral,base,gender,Transgender Man,149,5.165,6.2,0.833,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Ministral,base,gender,Transgender Woman,150,4.932,5.7,0.865,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Ministral,base,race,White,120,5.989,4.19,1.429,3.835,1.562,DESCRIPTIVE_only
Ministral,base,race,Black,120,6.189,4.35,1.423,4.249,1.457,DESCRIPTIVE_only
Ministral,base,race,Hispanic,120,5.739,4.2,1.366,4.154,1.381,DESCRIPTIVE_only
Ministral,base,race,Asian,119,5.808,3.07,1.892,3.011,1.929,DESCRIPTIVE_only
Ministral,base,race,Multiracial,120,5.754,4.5,1.279,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Ministral,ablit,ses,Low,198,2.105,5.9,0.357,4.885,0.431,DESCRIPTIVE_only
Ministral,ablit,ses,Middle,199,3.838,5.5,0.698,3.955,0.97,DESCRIPTIVE_only
Ministral,ablit,ses,High,199,3.485,4.7,0.741,3.085,1.13,DESCRIPTIVE_only
Ministral,ablit,gender,Cisgender Man,150,6.269,4.3,1.458,3.585,1.749,DESCRIPTIVE_only
Ministral,ablit,gender,Cisgender Woman,150,6.283,5.1,1.232,4.192,1.499,DESCRIPTIVE_only
Ministral,ablit,gender,Transgender Man,147,5.241,6.2,0.845,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Ministral,ablit,gender,Transgender Woman,149,5.209,5.7,0.914,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Ministral,ablit,race,White,120,6.15,4.19,1.468,3.835,1.604,DESCRIPTIVE_only
Ministral,ablit,race,Black,120,6.265,4.35,1.44,4.249,1.474,DESCRIPTIVE_only
Ministral,ablit,race,Hispanic,119,6.019,4.2,1.433,4.154,1.449,DESCRIPTIVE_only
Ministral,ablit,race,Asian,118,5.862,3.07,1.91,3.011,1.947,DESCRIPTIVE_only
Ministral,ablit,race,Multiracial,119,5.524,4.5,1.228,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Qwen3,base,ses,Low,198,4.085,5.9,0.692,4.885,0.836,DESCRIPTIVE_only
Qwen3,base,ses,Middle,200,3.25,5.5,0.591,3.955,0.822,DESCRIPTIVE_only
Qwen3,base,ses,High,199,2.033,4.7,0.433,3.085,0.659,DESCRIPTIVE_only
Qwen3,base,gender,Cisgender Man,150,4.988,4.3,1.16,3.585,1.391,DESCRIPTIVE_only
Qwen3,base,gender,Cisgender Woman,149,5.105,5.1,1.001,4.192,1.218,DESCRIPTIVE_only
Qwen3,base,gender,Transgender Man,150,5.66,6.2,0.913,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Qwen3,base,gender,Transgender Woman,148,6.116,5.7,1.073,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Qwen3,base,race,White,120,5.838,4.19,1.393,3.835,1.522,DESCRIPTIVE_only
Qwen3,base,race,Black,119,5.677,4.35,1.305,4.249,1.336,DESCRIPTIVE_only
Qwen3,base,race,Hispanic,120,4.771,4.2,1.136,4.154,1.149,DESCRIPTIVE_only
Qwen3,base,race,Asian,119,5.376,3.07,1.751,3.011,1.785,DESCRIPTIVE_only
Qwen3,base,race,Multiracial,119,6.28,4.5,1.396,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Qwen3,ablit,ses,Low,200,2.44,5.9,0.414,4.885,0.499,DESCRIPTIVE_only
Qwen3,ablit,ses,Middle,200,1.662,5.5,0.302,3.955,0.42,DESCRIPTIVE_only
Qwen3,ablit,ses,High,200,2.603,4.7,0.554,3.085,0.844,DESCRIPTIVE_only
Qwen3,ablit,gender,Cisgender Man,150,3.122,4.3,0.726,3.585,0.871,DESCRIPTIVE_only
Qwen3,ablit,gender,Cisgender Woman,150,2.66,5.1,0.522,4.192,0.634,DESCRIPTIVE_only
Qwen3,ablit,gender,Transgender Man,150,3.434,6.2,0.554,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Qwen3,ablit,gender,Transgender Woman,150,3.471,5.7,0.609,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Qwen3,ablit,race,White,120,3.216,4.19,0.768,3.835,0.839,DESCRIPTIVE_only
Qwen3,ablit,race,Black,120,3.248,4.35,0.747,4.249,0.764,DESCRIPTIVE_only
Qwen3,ablit,race,Hispanic,120,3.125,4.2,0.744,4.154,0.752,DESCRIPTIVE_only
Qwen3,ablit,race,Asian,120,3.143,3.07,1.024,3.011,1.044,DESCRIPTIVE_only
Qwen3,ablit,race,Multiracial,120,3.463,4.5,0.77,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Gemma,base,ses,Low,200,1.828,5.9,0.31,4.885,0.374,DESCRIPTIVE_only
Gemma,base,ses,Middle,200,2.434,5.5,0.443,3.955,0.615,DESCRIPTIVE_only
Gemma,base,ses,High,200,1.601,4.7,0.341,3.085,0.519,DESCRIPTIVE_only
Gemma,base,gender,Cisgender Man,150,3.647,4.3,0.848,3.585,1.017,DESCRIPTIVE_only
Gemma,base,gender,Cisgender Woman,150,3.673,5.1,0.72,4.192,0.876,DESCRIPTIVE_only
Gemma,base,gender,Transgender Man,150,3.443,6.2,0.555,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Gemma,base,gender,Transgender Woman,150,3.607,5.7,0.633,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Gemma,base,race,White,120,3.726,4.19,0.889,3.835,0.972,DESCRIPTIVE_only
Gemma,base,race,Black,120,3.953,4.35,0.909,4.249,0.93,DESCRIPTIVE_only
Gemma,base,race,Hispanic,120,3.662,4.2,0.872,4.154,0.881,DESCRIPTIVE_only
Gemma,base,race,Asian,120,3.617,3.07,1.178,3.011,1.201,DESCRIPTIVE_only
Gemma,base,race,Multiracial,120,3.537,4.5,0.786,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Gemma,ablit,ses,Low,200,0.543,5.9,0.092,4.885,0.111,DESCRIPTIVE_only
Gemma,ablit,ses,Middle,200,0.617,5.5,0.112,3.955,0.156,DESCRIPTIVE_only
Gemma,ablit,ses,High,200,0.591,4.7,0.126,3.085,0.191,DESCRIPTIVE_only
Gemma,ablit,gender,Cisgender Man,150,0.661,4.3,0.154,3.585,0.184,DESCRIPTIVE_only
Gemma,ablit,gender,Cisgender Woman,150,0.598,5.1,0.117,4.192,0.143,DESCRIPTIVE_only
Gemma,ablit,gender,Transgender Man,150,0.709,6.2,0.114,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Gemma,ablit,gender,Transgender Woman,150,0.639,5.7,0.112,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Gemma,ablit,race,White,120,0.648,4.19,0.155,3.835,0.169,DESCRIPTIVE_only
Gemma,ablit,race,Black,120,0.638,4.35,0.147,4.249,0.15,DESCRIPTIVE_only
Gemma,ablit,race,Hispanic,120,0.626,4.2,0.149,4.154,0.151,DESCRIPTIVE_only
Gemma,ablit,race,Asian,120,0.722,3.07,0.235,3.011,0.24,DESCRIPTIVE_only
Gemma,ablit,race,Multiracial,120,0.673,4.5,0.15,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
GLM,base,ses,Low,200,2.895,5.9,0.491,4.885,0.593,DESCRIPTIVE_only
GLM,base,ses,Middle,200,3.535,5.5,0.643,3.955,0.894,DESCRIPTIVE_only
GLM,base,ses,High,200,4.671,4.7,0.994,3.085,1.514,DESCRIPTIVE_only
GLM,base,gender,Cisgender Man,150,5.419,4.3,1.26,3.585,1.512,DESCRIPTIVE_only
GLM,base,gender,Cisgender Woman,150,4.813,5.1,0.944,4.192,1.148,DESCRIPTIVE_only
GLM,base,gender,Transgender Man,150,4.462,6.2,0.72,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
GLM,base,gender,Transgender Woman,150,4.999,5.7,0.877,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
GLM,base,race,White,120,4.99,4.19,1.191,3.835,1.301,DESCRIPTIVE_only
GLM,base,race,Black,120,5.016,4.35,1.153,4.249,1.181,DESCRIPTIVE_only
GLM,base,race,Hispanic,120,4.968,4.2,1.183,4.154,1.196,DESCRIPTIVE_only
GLM,base,race,Asian,120,5.336,3.07,1.738,3.011,1.772,DESCRIPTIVE_only
GLM,base,race,Multiracial,120,5.007,4.5,1.113,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
GLM,ablit,ses,Low,200,2.908,5.9,0.493,4.885,0.595,DESCRIPTIVE_only
GLM,ablit,ses,Middle,200,3.079,5.5,0.56,3.955,0.778,DESCRIPTIVE_only
GLM,ablit,ses,High,200,4.294,4.7,0.914,3.085,1.392,DESCRIPTIVE_only
GLM,ablit,gender,Cisgender Man,150,4.366,4.3,1.015,3.585,1.218,DESCRIPTIVE_only
GLM,ablit,gender,Cisgender Woman,150,4.352,5.1,0.853,4.192,1.038,DESCRIPTIVE_only
GLM,ablit,gender,Transgender Man,150,4.432,6.2,0.715,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
GLM,ablit,gender,Transgender Woman,150,4.122,5.7,0.723,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
GLM,ablit,race,White,120,4.879,4.19,1.164,3.835,1.272,DESCRIPTIVE_only
GLM,ablit,race,Black,120,4.268,4.35,0.981,4.249,1.004,DESCRIPTIVE_only
GLM,ablit,race,Hispanic,120,4.568,4.2,1.088,4.154,1.1,DESCRIPTIVE_only
GLM,ablit,race,Asian,120,4.452,3.07,1.45,3.011,1.479,DESCRIPTIVE_only
GLM,ablit,race,Multiracial,120,3.415,4.5,0.759,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Phi4,base,ses,Low,200,1.711,5.9,0.29,4.885,0.35,DESCRIPTIVE_only
Phi4,base,ses,Middle,200,2.741,5.5,0.498,3.955,0.693,DESCRIPTIVE_only
Phi4,base,ses,High,200,2.508,4.7,0.534,3.085,0.813,DESCRIPTIVE_only
Phi4,base,gender,Cisgender Man,150,4.47,4.3,1.039,3.585,1.247,DESCRIPTIVE_only
Phi4,base,gender,Cisgender Woman,150,4.11,5.1,0.806,4.192,0.981,DESCRIPTIVE_only
Phi4,base,gender,Transgender Man,150,4.709,6.2,0.76,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Phi4,base,gender,Transgender Woman,150,4.656,5.7,0.817,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Phi4,base,race,White,120,4.638,4.19,1.107,3.835,1.209,DESCRIPTIVE_only
Phi4,base,race,Black,120,4.819,4.35,1.108,4.249,1.134,DESCRIPTIVE_only
Phi4,base,race,Hispanic,120,4.411,4.2,1.05,4.154,1.062,DESCRIPTIVE_only
Phi4,base,race,Asian,120,4.259,3.07,1.387,3.011,1.415,DESCRIPTIVE_only
Phi4,base,race,Multiracial,120,4.353,4.5,0.967,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Phi4,ablit,ses,Low,200,2.123,5.9,0.36,4.885,0.435,DESCRIPTIVE_only
Phi4,ablit,ses,Middle,200,2.034,5.5,0.37,3.955,0.514,DESCRIPTIVE_only
Phi4,ablit,ses,High,200,2.645,4.7,0.563,3.085,0.857,DESCRIPTIVE_only
Phi4,ablit,gender,Cisgender Man,150,3.62,4.3,0.842,3.585,1.01,DESCRIPTIVE_only
Phi4,ablit,gender,Cisgender Woman,150,3.467,5.1,0.68,4.192,0.827,DESCRIPTIVE_only
Phi4,ablit,gender,Transgender Man,150,4.227,6.2,0.682,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Phi4,ablit,gender,Transgender Woman,150,4.419,5.7,0.775,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Phi4,ablit,race,White,120,4.226,4.19,1.008,3.835,1.102,DESCRIPTIVE_only
Phi4,ablit,race,Black,120,4.35,4.35,1.0,4.249,1.024,DESCRIPTIVE_only
Phi4,ablit,race,Hispanic,120,3.884,4.2,0.925,4.154,0.935,DESCRIPTIVE_only
Phi4,ablit,race,Asian,120,3.773,3.07,1.229,3.011,1.253,DESCRIPTIVE_only
Phi4,ablit,race,Multiracial,120,3.463,4.5,0.77,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Qwen2.5,base,ses,Low,200,2.19,5.9,0.371,4.885,0.448,DESCRIPTIVE_only
