pair,variant,condition,dimension,group,n,residual,t,p,p_bh,sig_bh_.05
Ministral,base,Clinical,race,White,120,7.621,13.941,0.000e+00,0.000e+00,True
Ministral,base,Clinical,race,Black,120,7.541,13.348,0.000e+00,0.000e+00,True
Ministral,base,Clinical,race,Hispanic,120,7.746,14.786,0.000e+00,0.000e+00,True
Ministral,base,Clinical,race,Asian,119,8.104,15.219,0.000e+00,0.000e+00,True
Ministral,base,Clinical,gender,Cisgender Man,150,5.928,11.728,0.000e+00,0.000e+00,True
Ministral,base,Clinical,gender,Cisgender Woman,150,6.257,12.467,0.000e+00,0.000e+00,True
Ministral,base,Clinical,ses,Low,200,12.718,82.113,0.000e+00,0.000e+00,True
Ministral,base,Clinical,ses,Middle,199,6.787,24.476,0.000e+00,0.000e+00,True
Ministral,base,Clinical,ses,High,200,2.998,11.395,0.000e+00,0.000e+00,True
Ministral,base,Narrative,race,White,120,3.43,6.252,5.814e-08,6.502e-08,True
Ministral,base,Narrative,race,Black,120,3.016,5.246,2.271e-06,2.485e-06,True
Ministral,base,Narrative,race,Hispanic,120,2.879,5.087,4.027e-06,4.394e-06,True
Ministral,base,Narrative,race,Asian,120,3.96,6.656,1.334e-08,1.535e-08,True
Ministral,base,Narrative,gender,Cisgender Man,150,2.602,5.691,2.493e-07,2.762e-07,True
Ministral,base,Narrative,gender,Cisgender Woman,150,2.464,4.629,1.503e-05,1.615e-05,True
Ministral,base,Narrative,ses,Low,200,9.888,49.606,0.000e+00,0.000e+00,True
Ministral,base,Narrative,ses,Middle,200,-0.078,-0.525,6.001e-01,6.018e-01,False
Ministral,base,Narrative,ses,High,200,-1.262,-18.423,0.000e+00,0.000e+00,True
Ministral,ablit,Clinical,race,White,120,7.521,13.396,0.000e+00,0.000e+00,True
Ministral,ablit,Clinical,race,Black,120,7.383,12.91,0.000e+00,0.000e+00,True
Ministral,ablit,Clinical,race,Hispanic,119,7.081,12.833,0.000e+00,0.000e+00,True
Ministral,ablit,Clinical,race,Asian,118,7.716,14.297,0.000e+00,0.000e+00,True
Ministral,ablit,Clinical,gender,Cisgender Man,150,5.895,11.517,0.000e+00,0.000e+00,True
Ministral,ablit,Clinical,gender,Cisgender Woman,150,6.197,12.079,0.000e+00,0.000e+00,True
Ministral,ablit,Clinical,ses,Low,198,12.617,84.319,0.000e+00,0.000e+00,True
Ministral,ablit,Clinical,ses,Middle,199,6.54,24.038,0.000e+00,0.000e+00,True
Ministral,ablit,Clinical,ses,High,199,2.436,9.862,6.661e-16,8.957e-16,True
Ministral,ablit,Narrative,race,White,120,3.471,6.269,5.466e-08,6.132e-08,True
Ministral,ablit,Narrative,race,Black,120,2.683,4.775,1.218e-05,1.317e-05,True
Ministral,ablit,Narrative,race,Hispanic,120,2.921,5.297,1.889e-06,2.073e-06,True
Ministral,ablit,Narrative,race,Asian,120,3.993,7.181,1.997e-09,2.328e-09,True
Ministral,ablit,Narrative,gender,Cisgender Man,150,2.675,5.696,2.452e-07,2.725e-07,True
Ministral,ablit,Narrative,gender,Cisgender Woman,150,2.477,4.958,4.362e-06,4.745e-06,True
Ministral,ablit,Narrative,ses,Low,200,9.713,52.902,0.000e+00,0.000e+00,True
Ministral,ablit,Narrative,ses,Middle,200,0.082,0.55,5.829e-01,5.862e-01,False
Ministral,ablit,Narrative,ses,High,200,-1.237,-17.279,0.000e+00,0.000e+00,True
Qwen3,base,Clinical,race,White,120,3.505,6.577,1.778e-08,2.027e-08,True
Qwen3,base,Clinical,race,Black,119,2.934,5.639,5.601e-07,6.187e-07,True
Qwen3,base,Clinical,race,Hispanic,120,2.838,6.515,2.226e-08,2.529e-08,True
Qwen3,base,Clinical,race,Asian,119,4.095,8.309,4.114e-11,4.972e-11,True
